"location","source","target"
"","defaultheader.BrandFullVersion","<<BRAND>> සම්පූර්ණ අනුවාදය"
"","defaultheader.BrandNowSupportsVideosPostNow","නව: <<BRAND>> දැන් වීඩියෝවලට ආධාර කෙරේ! දැන්ම පළ කරන්න!"
"","defaultheader.BrowseAds","දැන්වීම් බ්‍රව්ස් කරන්න"
"","defaultheader.Categories","<<BRAND>> කාණ්ඩ"
"","defaultheader.change","වෙනස් කරන්න"
"","defaultheader.Cities","නගර"
"","defaultheader.ClassifiedsAndMuchMore","ලුහුඬු දැන්වීම් හා තවත් බොහෝ දේවල්!"
"","defaultheader.ClassifiedsHelp","ලුහුඬු දැන්වීම් උපකාර"
"","defaultheader.ClassifiedsHome","ලුහුඬු දැන්වීම් මුල් පිටුව"
"","defaultheader.Click","මෙතැන ක්ලික් කරන්න"
"","defaultheader.ClickHere","මෙතැන ක්ලික් කරන්න"
"","defaultheader.CloseToYou","<<BRAND>> ඔබට සමීපය"
"","defaultheader.Dec","දෙසැ"
"","defaultheader.December","දෙසැම්බර්"
"","defaultheader.Distance","දුර"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","පින් කිරීමට මෙම අයිකනය <<LOGO_IMAGE>> ඔබේ Windows ටාස්ක්බාර් වෙත ඇදගෙන යන්න."
"","defaultheader.Exact","හරියටම"
"","defaultheader.ExperienceBrandAsPinnedSite","පින් කරන ලද වෙබ් අඩවියක් ලෙස<<BRAND>> අත් විඳින්න!"
"","defaultheader.Features","<<BRAND>> විශේෂාංග"
"","defaultheader.Feb","පෙබ"
"","defaultheader.February","පෙබරවාරි"
"","defaultheader.FollowUsOnNetwork","<<NETWORK>> මත අප අනුගමනය කරන්න"
"","defaultheader.FreeSite","<AREA> නොමිලේ ලුහුඬු දැන්වීම්"
"","defaultheader.Fri","සිකු"
"","defaultheader.Friday","සිකුරාදා"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> සහ <<friendName2>> භාවිතා කරනුයේ <<BRAND>> වේ"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> සහ <<friendsTotal>> බොහෝ මිතුරන් භාවිතා කරනුයේ <<BRAND>> වේ"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> භාවිතා කරනුයේ <<BRAND>> වේ"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> සහ <<friendsTotal>> බොහෝ මිතුරන් භාවිතා කරනුයේ <<BRAND>> වේ"
"","defaultheader.Hello","Hello, "
"","defaultheader.Help","උපකාර"
"","defaultheader.HelpUs","නව: <<BRAND>> දැන් වීඩියෝවලට ආධාර කෙරේ! දැන්ම පළ කරන්න!"
"","defaultheader.Home","මුල් පිටුව"
"","defaultheader.ItemDetail","අයිතම විස්තරය"
"","defaultheader.Jan","ජන"
"","defaultheader.January","ජනවාරි"
"","defaultheader.Jul","ජුලි"
"","defaultheader.July","ජූලි"
"","defaultheader.Jun","ජුනි"
"","defaultheader.June","ජුනි"
"","defaultheader.JustOneStep","පියවර 1ක් පමණි!"
"","defaultheader.ListingLanguage","හි ලැයිස්තු"
"","defaultheader.Location","ස්ථානය"
"","defaultheader.M","වි"
"","defaultheader.Mar","මාර්"
"","defaultheader.March","මාර්තු"
"","defaultheader.May","මැයි"
"","defaultheader.miles","සැතපුම්"
"","defaultheader.Minutes","විනාඩි"
"","defaultheader.MOBILE","ජංගම"
"","defaultheader.Modify","වෙනස් කරන්න"
"","defaultheader.Mon","සඳු"
"","defaultheader.Monday","සඳුදා"
"","defaultheader.My OLX","My OLX"
"","defaultheader.MyAdsOnBrand","<<BRAND>> හි මගේ දැන්වීම්"
"","defaultheader.MyClassifieds","මගේ ලුහුඬු දැන්වීම්"
"","defaultheader.NeverAskAgain","නැවත කිසිවිට නොඅසන්න"
"","defaultheader.NewListings","නව ලැයිස්තුගත කිරීම්"
"","defaultheader.Not_You?","ඔබ නොවේ"
"","defaultheader.Nov","නොවැ"
"","defaultheader.November","නොවැම්බර්"
"","defaultheader.Oct","ඔක්"
"","defaultheader.October","ඔක්තෝම්බර්"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","වෛකල්පිත"
"","defaultheader.Or","හෝ"
"","defaultheader.PlaceAdFree","නොමිලේ දැන්වීමක් යොදන්න"
"","defaultheader.PlaceAnAd","දැන්වීමක් යොදන්න"
"","defaultheader.PlaceFreeAd","දැන්වීමක් නොමිලේ යොදන්න"
"","defaultheader.PopularSearches","ජනප්‍රිය සෙවීම්"
"","defaultheader.Post","පළ කරන්න"
"","defaultheader.PostAdFree","නොමිලේ දැන්වීමක් පළ කරන්න"
"","defaultheader.PostAFreeAd","නොමිලේ දැන්වීමක් පළ කරන්න"
