"location","source","target"
"","itemslisting.PendingAd","Reklame undervejs"
"","itemslisting.PendingAds","Annoncer der venter"
"","itemslisting.PerWeek","Pr. uge"
"","itemslisting.Photo","Foto"
"","itemslisting.PostingIsFree","Annoncer på <<BRAND>> er GRATIS."
"","itemslisting.Previous","Forrige"
"","itemslisting.Price","Pris"
"","itemslisting.Professionals/Businesses","Professionelle/Virksomheder"
"","itemslisting.R"," R "
"","itemslisting.Rank","Bedste match"
"","itemslisting.RefineYourSearch","Avanceret søgning"
"","itemslisting.ReservePrice","Mindstepris"
"","itemslisting.Results","resultater"
