"location","source","target"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> <<BRAND>> ஐ பயன்படுத்துகிறார்"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> மற்றும் மேலும் <<friendsTotal>> நண்பர்கள்  <<BRAND>> ஐ பயன்படுத்துகின்றனர்"
"","defaultheader.Hello","ஹலோ,"
"","defaultheader.Help","உதவி"
"","defaultheader.HelpUs","புதிது: <<BRAND>>இல் இப்போது வீடியோ வசதி உண்டு! இப்போது வெளியிடுங்கள்!"
"","defaultheader.Home","முகப்பு"
"","defaultheader.ItemDetail","உருப்படி விவரம்"
"","defaultheader.Jan","ஜன"
"","defaultheader.January","ஜனவரி"
"","defaultheader.Jul","ஜூலை"
"","defaultheader.July","ஜூலை"
"","defaultheader.Jun","ஜூன்"
"","defaultheader.June","ஜூன்"
"","defaultheader.JustOneStep","ஒரே 1 படிநிலை தான்!"
"","defaultheader.ListingLanguage","-ல் விளம்பரங்கள்:"
"","defaultheader.Location","இடம்"
"","defaultheader.M","நி"
"","defaultheader.Mar","மார்ச்"
"","defaultheader.March","மார்ச்"
"","defaultheader.May","மே"
"","defaultheader.miles","மைல்கள்"
"","defaultheader.Minutes","நிமிடங்கள்"
"","defaultheader.MOBILE","மொபைல்"
"","defaultheader.Modify","மாற்றம் செய்"
"","defaultheader.Mon","திங்"
"","defaultheader.Monday","திங்கள்"
"","defaultheader.My OLX","என் OLX"
"","defaultheader.MyAdsOnBrand","<<BRAND>> யில் உள்ள என்னுடைய விளம்பரங்கள்"
"","defaultheader.MyClassifieds","என் வரி விளம்பரங்கள்"
"","defaultheader.NeverAskAgain","ஒருபோதும் மீண்டும் கேட்காதீர்கள்"
"","defaultheader.NewListings","புதிய பட்டியலிடல்கள்"
"","defaultheader.Not_You?","நீங்கள் அல்ல"
"","defaultheader.Nov","நவ"
"","defaultheader.November","நவம்பர்"
"","defaultheader.Oct","அக்"
"","defaultheader.October","அக்டோபர்"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","விருப்பத்திற்குரியது"
"","defaultheader.Or","அல்லது"
"","defaultheader.PlaceAdFree","விளம்பரத்தை இலவசமாக இடுகை செய்யவும்"
"","defaultheader.PlaceAnAd","ஒரு விளம்பரத்தை இடுகை செய்யவும்"
"","defaultheader.PlaceFreeAd","ஒரு இலவச விளம்பரத்தை இடுகை செய்யவும்"
"","defaultheader.PopularSearches","ஜனரஞ்சகமான தேடல்கள்"
"","defaultheader.Post","வெளியிடு"
"","defaultheader.PostAdFree","விளம்பரத்தை இலவசமாகப் போடவும்"
"","defaultheader.PostAFreeAd","ஒரு இலவச விளம்பரத்தை வெளியிடுங்கள்"
"","defaultheader.PostAFreeClassifiedAd","ஒரு இலவச வரி விளம்பரம் வெளியிடுங்கள்"
"","defaultheader.PostAnAd","ஒரு விளம்பரத்தைப் போடவும்"
"","defaultheader.PostPicturesButton","படங்களை வெளியிடுங்கள்"
"","defaultheader.PublishFreeAd","ஒரு இலவச வரி விளம்பரத்தை வெளியிடுங்கள்"
"","defaultheader.Region","பிராந்தியம்"
"","defaultheader.Register","பதிவுபெறுங்கள்"
"","defaultheader.Register2","பதிவுபெறுங்கள்"
"","defaultheader.Sat","சனி"
"","defaultheader.Saturday","சனி"
"","defaultheader.Search","தேடுக"
"","defaultheader.Seconds","நொடிகள்"
"","defaultheader.SelectCityState","நகரத்தை/மாநிலத்தைத் தேர்ந்தெடுங்கள்"
"","defaultheader.SelectCountry","நாட்டைத் தேர்ந்தெடுங்கள்"
"","defaultheader.Selected_Region","இடம்"
"","defaultheader.Sep","செப்"
"","defaultheader.September","செப்டம்பர்"
"","defaultheader.SiteLanguage","-ல் விலம்பரங்கள்:"
"","defaultheader.State","மாநிலம்"
"","defaultheader.StayConnected","தொடர்ந்து இணைப்பில் இருங்கள்"
"","defaultheader.Sun","ஞா"
"","defaultheader.Sunday","ஞாயிறு"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","உங்களுடைய கருத்தை எங்களிடம் தெரிவியுங்கள், கருத்தாய்விற்கு பதிலளியுங்கள்!"
"","defaultheader.TheWeb","வலை"
"","defaultheader.Thu","வியா"
"","defaultheader.Thursday","வியாழன்"
"","defaultheader.Tue","செவ்"
"","defaultheader.Tuesday","செவ்வாய்"
"","defaultheader.UsefulInformation","பயனுள்ள தகவல்கள்"
"","defaultheader.UserNameHasPublishedThis","இந்த விளம்பரத்தை <<USERNAME>> வெளியிட்டுள்ளார்"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","புத"
"","defaultheader.Wednesday","புதன்"
"","defaultheader.Welcome","நல்வரவு"
"","defaultheader.WhatAreYouLookingFor","நீங்கள் எதைத் தேடுகிறீர்கள்?"
"","defaultheader.WhatWouldYouLikeToDoNext","அடுத்து என்ன செய்ய விரும்புகிறீர்கள்?"
"","defaultheader.WhereBuyersMeetSellers","வாங்குநர்கள் விற்பனையாளர்களை சந்திக்கும் இடம்"
