"location","source","target"
"","defaulthtmlhead.VideoUploadTitle","Odovzdať video"
"","defaulthtmlhead.WeHaveNumberAds","Máme <<NUMBER>> inzerátov!"
"","defaulthtmlhead.WeRealizedThatYouAreVisitingBrandCountryNameSiteFromCountry","Zdá sa, že ste navštívili stránky <<BRAND>> krajiny <<COUNTRY_NAME>>) (<<LINK_HOME_PAGE>>) z územia <country>"
"","defaulthtmlhead.WhatDoYouWantToDoNow","Čo by ste chceli robiť teraz?"
"","defaulthtmlhead.WhichSiteDoYouWantToGoTo","Ktoré stránky si želáte navštíviť?"
"","itemslisting.ActivationPending","Aktivácia prebieha"
"","itemslisting.AdLink","Inzerujte v tejto lokalite"
"","itemslisting.AdRemoved","Reklama odstránená"
"","itemslisting.AdsIn","Oznámenia v jazyku"
"","itemslisting.AdSponsored","Sponzorovaný odkaz"
"","itemslisting.AdUpTo20TimesMoreVisible","Zvýšte viditeľnosť svojho inzerátu až 20-násobne."
"","itemslisting.AdUrl","https://adwords.google.com/select/OnsiteSignupLandingPage?client=pub-6663783282485898&referringUrl=http://"
"","itemslisting.AdvertiseOnThisSite","Inzerujte v tejto lokalite"
"","itemslisting.AdWillBeAvailable3To6Hours","Gratulujeme! Váš inzerát bude k dispozícii na stránkach OLX do 3 – 6 hodín."
"","itemslisting.All","Všetko"
"","itemslisting.AllItems","Všetky položky"
"","itemslisting.ALL_ADS","Bezplatné inzeráty"
"","itemslisting.AlreadyHaveAccount","Ak už máte konto <<BRAND>>, prihláste sa a pokračujte v postupe."
"","itemslisting.Apply","Použiť"
"","itemslisting.AttendedTo","Zúčastnil sa školenia <<EDUCATION>>"
"","itemslisting.AttendedToAnd","Študoval v <<EDUCATION>> a <<EDUCATION_>>"
"","itemslisting.Auctions","Aukcie"
"","itemslisting.BestMatch","Najlepšia zhoda"
"","itemslisting.bid","ponuka"
"","itemslisting.Bids","ponúk"
"","itemslisting.BidsCount","%d %s zatiaľ"
"","itemslisting.BuyItNow","Kúpte teraz!"
"","itemslisting.Category","Kategória:"
"","itemslisting.CATEGORY_REGION","<<CATEGORY>> - <<REGION>>"
"","itemslisting.CATEGORY_REGION_CITY","<<CATEGORY>> - <<REGION>>"
"","itemslisting.Classified","Inzerát"
"","itemslisting.Classifieds","Inzeráty"
"","itemslisting.ClearAll","Zmazať všetko"
"","itemslisting.ClickOnPostFreeButton","Kliknite na tlačidlo „Uverejniť bezplatný inzerát“."
"","itemslisting.ContactCustomerCare","Kontaktujte zákaznícku podporu"
"","itemslisting.ContactSeller","Kontaktovať predajcu"
"","itemslisting.D","d "
"","itemslisting.DatePosted","Dátum uverejnenia"
"","itemslisting.days","d "
"","itemslisting.Ending","Ukončenie %s"
"","itemslisting.EndingSoonest","Ukončenie najskôr"
"","itemslisting.EventDate","Dátum udalosti"
"","itemslisting.FastRegistration","Hneď po tomto veľmi rýchlom a jednoduchom registračnom procese môžete začať so zverejňovaním."
"","itemslisting.FeatureOnlinePayment","Vystavte svoj inzerát prostredníctvom online platby."
"","itemslisting.FeatureViaSMS","Vystavte svoj inzerát prostredníctvom sms."
"","itemslisting.FeatureYourAd","Vystavte svoj inzerát"
"","itemslisting.FeatureYourAdNow","Vystavte svoj inzerát teraz, a zobrazí sa nad bežnými inzerátmi, a dostane sa do výkladu na úvodnej stránke."
"","itemslisting.FreeClassifieds","Bezplatné inzeráty"
"","itemslisting.HighestFirst","Začať najvyššou ponukou"
"","itemslisting.HighestPriceFirst","Začať najvyššou ponukou"
"","itemslisting.hours","h "
"","itemslisting.IfYouDontHaveAccount","Ak nemáte konto a nechcete sa ešte zaregistrovať, vyberte kategóriu a ste pripravení uverejniť váš bezplatný inzerát. Alebo môžete zaregistrovať konto na <<BRAND>> poskytnutím základných kontaktných informácií. Potom dostanete možnosť poslať fotografie, poskytnúť nadpis a popis pre svoj inzerát."
"","itemslisting.Individuals","Jednotlivci"
"","itemslisting.Less","Menej"
