"location","source","target"
"","defaultheader.UsefulInformation","Information Utile"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> a publié cette annonce"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","Mer"
"","defaultheader.Wednesday","Mercredi"
"","defaultheader.Welcome","Bienvenue"
"","defaultheader.WhatAreYouLookingFor","Que recherchez vous?"
"","defaultheader.WhatWouldYouLikeToDoNext","Que voulez-vous faire maintenant?"
"","defaultheader.WhereBuyersMeetSellers","Où les acheteurs rencontrent les vendeurs"
"","defaultheader.YouCanPostWithoutHavingAnAccountItIsFastAndFree","Vous pouvez publiez sans être enregistré. C'est rapide et gratuit!"
"","defaultheader.YourFriendsAdsOnBrand","Les Annonces de vos Amis sur <<BRAND>>"
"","defaultheader.YourLastVisitedAds","Annonces récemment consultées"
"","defaulthtmlhead.2CharactersMinimum","Minimum 2 caractères"
"","defaulthtmlhead.Add a comment","Ajouter un commentaire"
"","defaulthtmlhead.AreYouFromCountry","Votre pays de résidence est-il <country>?"
"","defaulthtmlhead.BidError","<<BRAND>> - Confirmez l'Offre"
"","defaulthtmlhead.BrandBehindTheScenes","<<BRAND>>, Les Coulisses:"
"","defaulthtmlhead.BrowseBrand","Parcourir <<BRAND>>"
"","defaulthtmlhead.BuyerInformation","information de l'Acheteur"
"","defaulthtmlhead.CheckOurYoutubeChannel","Découvrez notre chaîne <<YOUTUBE>>"
"","defaulthtmlhead.CheckOutOurNewTvAd","Découvrez notre nouveau spot TV!"
"","defaulthtmlhead.CookiesHelp","<<BRAND>> - Aide sur les cookies"
"","defaulthtmlhead.Description1","OnLine eXchange"
"","defaulthtmlhead.Description2","annonces gratuites : emploi, immobilier, occasions, enchères etc. - Publiez votre annonce gratuitement"
"","defaulthtmlhead.Disclaimer","Avertissement"
"","defaulthtmlhead.EntireSite","Tout le Site"
"","defaulthtmlhead.EverythingHasAValueOn_HomePage","Everything has a value on <<LINK_HOME_PAGE>>, sell it now!"
"","defaulthtmlhead.FindAdsInRealEstateForSaleJobsVehiclesAndMoreNextToYourLocation","Trouvez des annonces dans l'immobilier, la vente, l'emploi, les véhicules et bien plus encore juste à coté de chez vous"
"","defaulthtmlhead.FindOutWhoYouAreAt_HomePage","Découvrez qui vous êtes sur <<LINK_HOME_PAGE>>"
"","defaulthtmlhead.FlagItem","Signaler cet Item"
"","defaulthtmlhead.FreeClassifiedsInArea","Annonces gratuites dans <AREA>"
"","defaulthtmlhead.GeneralDescription","<AREA> offre des annonces locales et gratuites pour l'emploi, la vente, l'immobilier, les services, les activitités communautaires et tout événement - Publiez votre annonce classée gratuitement"
"","defaulthtmlhead.GeneralKeywords","<AREA>, annonces, petites annonces, emplois, à vendre, immobilier, services, communautaire, événements"
"","defaulthtmlhead.GoBackToThePreviousPage","Revenir à la page précédente."
"","defaulthtmlhead.HaveYouSeenThis","Avez-vous vu ceci ?"
"","defaulthtmlhead.HelloUsername","Bonjour, <<USERNAME>>"
"","defaulthtmlhead.HomeSpecialTitle","Le site de petites annonces et d'enchères gratuites : Voitures, Immobilier, Rencontres , Emploi..."
"","defaulthtmlhead.HomeTitle","Annonces gratuites dans <AREA>, petites annonces dans <AREA> (À Vendre, Rencontres, Véhicules, Immobiliers, Communautaire, ...)"
"","defaulthtmlhead.InEveryBuyerLivesSeller","Dans chaque acheteur sommeille un vendeur"
"","defaulthtmlhead.Is","est"
"","defaulthtmlhead.Keywords",",annonces classées, emplois, ventes aux enchères, emplois, immeubles, services, communauté, événements"
"","defaulthtmlhead.Last","Dernière"
"","defaulthtmlhead.LinkHomePage_TvAdCampaign","Campagne télévisée <<LINK_HOME_PAGE>>"
"","defaulthtmlhead.ListingTitle","<CATEGORY> <AREA>"
"","defaulthtmlhead.ListingUnavailable","L'Annonce n'est pas Disponible"
